ratio_A,ratio_B,ratio_C,ratio_D,ratio_E,Time,crystallized,diffusion,Lewis-base,Lewis-acid,topology,halogen-bond,π-stacking,anion-π,cation-π,hydrogen-bond,adsorption,crystallized_citydistance,Gibbis  free energy ΔG,reorganization,activation-energy,exciton,dipoles,averageC_Cbondlength,max_distance,distance_functiongroup_moleculecenter,total dipole moment,α-homo,α-lumo,α-gap,main_chain_angle,polaron_Euclidean distance,bipolaron_Euclidean distance,stability
0.55,0.4,0.05,0.025,0,200,0.61704867,0.57014611,0.9030468,0.80237531,0.18299841,0.64277823,0.44427201,0.38114765,0.3647162,0.42011218,0.51679886,96.533436,0.50598933,0.37360154,0.38535211,0.218375385,0.194771875,2.9605,7.08,2.416,1.568186126,-13.32269412,1.308867621,14.63156174,229.034,9.6637621,9.7526536,0
0.55,0.4,0.025,0.025,0,200,0.51711887,0.39827912,0.74316278,0.64898377,0.103331044,0.61668843,0.40159934,0.42147064,0.35376899,0.47940514,0.4362936,105.660798,0.46221898,0.57782307,0.22898396,0.25164382,0.34441312,2.836,6.008,4.61,6.466198002,-12.97710953,0.639467549,13.61657708,224.924,10.7877622,10.7802575,0
0.55,0.4,0.025,0.025,0,200,0.51489257,0.50586434,0.88410605,0.89112096,0.23102928,0.6643252,0.40537403,0.41994436,0.4950826,0.55828182,0.44295458,105.963228,0.34148052,0.41472813,0.32649121,0.29438945,0.26314906,1.519,5.659,0.808,2.41057691,-12.65057291,11.22741747,9.646436,219.981,10.545589,10.673373,1
0.55,0.4,0.025,0.025,0,200,0.517863,0.47344544,0.86156797,0.76159148,0.19325364,0.70601388,0.42755933,0.53670929,0.48258081,0.50154264,0.44419056,105.065804,0.55254033,0.58696838,0.24811137,0.32748918,0.29478866,3.004,6.263,3.3095,7.950850314,-13.76351856,1.017705801,14.78122436,233.021,10.1007234,10.1571737,0
0.55,0.4,0.025,0.025,0,200,0.62264488,0.46659015,0.95995774,0.80293554,0.152800474,0.68854797,0.54605631,0.4867477,0.56089263,0.57642779,0.58594942,95.303272,0.67319049,0.3743017,0.49668563,0.40357805,0.34317493,2.8385,9.457,6.722,4.111177321,-13.28459818,-0.753755366,12.53084282,240.008,9.1369137,9.379735,1
0.55,0.4,0.025,0.025,0,200,0.44748795,0.48309679,0.88697282,0.89516744,0.24985812,0.60581877,0.448143266,0.48822972,0.535377,0.53062153,0.50163451,108.910671,0.49884627,0.45790686,0.26693886,0.27016182,0.33383405,3.0665,7.464,3.961,3.029584387,-13.18119492,4.478993979,17.6601889,220.728,10.4033806,10.4936195,0
0.55,0.4,0.025,0.025,0,200,0.48412426,0.30041183,0.76720786,0.71987476,0.20402291,0.61776634,0.34862887,0.50601243,0.43985406,0.49410132,0.46956223,95.859123,0.61484544,0.59747597,0.31863224,0.26050758,0.39407846,2.85,5.962,4.8,6.180551133,-14.28325601,2.323852283,16.6071083,219.925,10.5468921,10.5756145,0
0.55,0.4,0.025,0.025,0,200,0.4363699,0.60217718,0.76173465,0.65741405,0.15900363,0.54409296,0.32251309,0.33498471,0.38652941,0.44558745,0.40921815,113.182735,0.46399124,0.3559843,0.31947741,0.24911116,0.22809181,3.062,10.097,2.399,2.430449009,-14.96354064,4.247697206,19.21123785,221.032,10.9804603,11.0095585,1
0.55,0.4,0.025,0.025,0,200,0.36092019,0.41667224,0.68578973,0.60558405,0.204484648,0.59642699,0.39388715,0.39333714,0.4663222,0.61140705,0.48868134,108.076718,0.42937423,0.38334681,0.2882046,0.261139835,0.29180547,2.991,11.519,1.311,3.806788907,-16.69418473,3.412307685,20.10649241,113.429,10.991937,11.1764278,1
0.55,0.4,0.025,0.025,0,200,0.48412426,0.30041183,0.76720786,0.71987476,0.20402291,0.61776634,0.34862887,0.50601243,0.43985406,0.49410132,0.46956223,95.859123,0.61484544,0.59747597,0.31863224,0.26050758,0.39407846,2.85,5.962,4.8,6.180551133,-14.28325601,2.323852283,16.6071083,219.925,10.5468921,10.5756145,0
0.55,0.4,0.025,0.025,0,200,0.44748795,0.48309679,0.88697282,0.89516744,0.24985812,0.60581877,0.448143266,0.48822972,0.535377,0.53062153,0.50163451,108.910671,0.49884627,0.45790686,0.26693886,0.27016182,0.33383405,3.0665,7.464,3.961,3.029584387,-13.18119492,4.478993979,17.6601889,220.728,10.4033806,10.4936195,0
